filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
glg_tte_n9_bn180927993_v00.fit,235.1953125,-2.3880154632687858,5391.284159320122,1.0,True,positive
glg_tte_n9_bn180929453_v00.fit,243.28125,-9.29155323877026,-62749.787206415574,1.0,True,negative
glg_tte_n9_bn181002617_v00.fit,271.0546875,-4.78019184719916,34421.47447073312,1.0,True,positive
glg_tte_n9_bn181007385_v00.fit,303.75,-16.024100308155862,-55349.89364516126,1.0,True,negative
glg_tte_n9_bn181007737_v00.fit,210.5357142857143,-79.75282793472047,-37030.87165355731,1.0,True,negative
glg_tte_n9_bn181008269_v00.fit,45.0,28.971532223711293,83649.34013810742,1.0,True,positive
glg_tte_n9_bn181008877_v00.fit,98.0859375,-40.22818472806109,10180.826008590991,1.0,True,positive
glg_tte_n9_bn181010247_v00.fit,59.0625,-13.554784037179,25020.802790385587,1.0,True,positive
glg_tte_n9_bn181014479_v00.fit,230.2734375,15.71386104800821,14518.125683799026,1.0,True,positive
glg_tte_n9_bn181016718_v00.fit,74.0167,60.367,-21819.560558342993,1.0,True,negative
